CompanyName,Sector,Stage,Fund_Amount,HeadQuarter,What_it_does,Funding_Year
Winzo,Gaming startup,,2000000.0,New Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020
mCaffeine,Cosmetics,Series B,5000000.0,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020
Pocket FM,FM,Series A,5000000.0,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020
Snackible,Healthcare,Bridge,,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2020
FreshtoHome,E-commerce,,16000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020
Jumbotail,Retail,Series B2,11000000.0,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020
Nykaa,E-commerce,,,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020
TagZ Foods,Food,,,Bangalore,TagZ Foods is a supplier of snacks and food products.,2020
Genius Teacher,Edtech,,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020
Krimanshi Feeds,Nutrition sector,,500000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020
Origo,AgriTech,Debt,4000000.0,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,2020
GetVantage,FinTech,Seed,5000000.0,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2020
Betterplace,Tech platform,Series B,10000000.0,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020
Biddano,Healthcare,Pre-series A,600000.0,Mumbai,India's 1st tech-enabled healthcare logistics platform.,2020
InVideo,Video,Series A,15000000.0,Mumbai,InVideo enables you to transform your content into great videos.,2020
Arzooo,Retail Tech,Series A,7500000.0,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020
Hubilo,Tech company,Seed,4500000.0,"San Francisco, California, United States",World’s smartest virtual event platform that brings Experience & Intelligence together,2020
BASIC Home Loan,FinTech,Seed,5000000.0,Gurugram,"A platform for automating home loans for middle and low-income households in India,",2020
Ketos,AI startup,,18000000.0,"San Francisco, United States",KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020
SUGAR cosmetics,Cosmetics,Debt,2000000.0,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2020
Signzy,FinTech,,5400000.0,Bangalore,It is creating 'building blocks for a Digital Trust system.,2020
Ahaguru,Edtech,Series A,,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2020
Tekion,AI startup,Series C,150000000.0,"San Ramon, California",It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020
Brighteye Ventures,Edtech,,5400000.0,"Paris, Ile-de-France, France",Education technology venture capital firm.,2020
EzeRx,Medtech,Seed,200000.0,Kolkata,Developer and manufacturer of medical devices,2020
VitalTech,HeathTech,Seed,3000000.0,"Plano, Texas, United States","VitalTech is a develop technologies that empower patients to better care for their safety,",2020
Genius Teacher,Edtech,,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020
Ultraviolette Automotive,Automobiles,Series B,4000000.0,Bangalore,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2020
Tring,Social Media,,,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",2020
Rare Planet,Retail startup,Pre-series A,400000.0,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020
GoodGamer,Gaming,Seed,2500000.0,Bangalore,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020
InnAccel,Medtech,Pre-series A,1500000.0,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2020
Tiliter,Retail,,7500000.0,Sydney,Software that uses computer vision to recognise products without barcodes,2020
Slintel,Sles and marketing,,4200000.0,"San Francisco Bay Area, Silicon Valley, West Coast","Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2020
SoOLEGAL,LegalTech,,4000000.0,New Delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2020
HobSpace,Edtech,Seed,200000.0,Mumbai,India's Activity Hub for Kids,2020
Supplynote,SaaS startup,Seed,500000.0,Noida,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,2020
Hire Me Car,Car Service,Seed,,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,2020
ShopUp,E-commerce,Series A,22000000.0,Bangaldesh,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",2020
Harmonizer India,Tech Startup,,,Bangalore,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",2020
Zomato,FoodTech,,52000000.0,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,2020
Dukaan,Tech Startup,Seed,6000000.0,Mumbai,Developer of an android application designed for businesses to sell online.,2020
CredR,Bike marketplace,,2000000.0,Mumbai,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2020
Satyukt,Agri tech,Seed,500000.0,Bangalore,An agritech company that provides business to business (B2B) agricultural data,2020
RACEnergy,Automobiles,,,Hyderabad,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,2020
TREAD,Fitness startup,Pre-seed,1100000.0,Bangalore,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,2020
Anveshan,FoodTech,Pre-seed,100000.0,Bangalore,Provide quality and healthy food products,2020
TeaMonk,Food & Bevarages,Pre-series A,900000.0,Bangalore,India's Finest Specialty Tea company.,2020
Fleetx,Tech Startup,Pre-series B,3000000.0,Gurugram,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",2020
ReNEWate,Real Estate,Pre-seed,,Pune,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",2020
Tango Eye,SaaS startup,Seed,,Chennai,Retail Video Analytics SaaS product,2020
Rare Planet,Reatil startup,Pre-series A,,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020
Avataa Me,AR platform,Series A,7000000.0,Bangalore,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,2020
Arrival,EV startup,,118000000.0,"London, England, United Kingdom",Arrival is a technology company that specializes in developing electric vehicles.,2020
Cover Genius,FinTech,,15000000.0,"Sydney, New South Wales, Australia",Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,2020
Phononic Vibes,Deeptech,,2300000.0,"Milano, Lombardia, Italy","Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",2020
MikeLegal,LegalTech,Seed,,Gurugram,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,2020
Clair,FinTech,Seed,4500000.0,"New York, United States",Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,2020
Gourmet Garden,Consumer Goods,,,"Palmwoods, Queensland, Australia",Gourmet Garden is a global market leader in chilled convenient packaged herbs.,2020
Miko,AI startup,Pre-series B,3000000.0,Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",2020
Razorpay,FinTech,Series D,100000000.0,Bangalore,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",2020
Ninjacart,Food Industry,,30000000.0,Bangalore,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",2020
Wow! Momo,Food Industry,Debt,5000000.0,Kolkata,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,2020
Pepper Content,Content marketplace,Series A,4200000.0,Mumbai,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,2020
LIVSPACE,Interior Design,Debt,4000000.0,Bangalore,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",2020
Acculi Labs,Healthcare,Seed,600000.0,Bangalore,Acculi Labs is a clinical grade smartphone based diagnostic tool,2020
Your MD,Healthcare,,25000000.0,"London, England, United Kingdom",Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,2020
Antaios,Tech company,,11000000.0,France,Developer of memory-based technology intended to solve issues of advanced computing.,2020
Unnati,AgriTech,Pre-series A,1700000.0,Noida,A helping hand to the farming community through Artificial Intelligence,2020
Disprz,Edtech,Pre-series B,1600000.0,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",2020
Uni,FinTech,Seed,18500000.0,Mumbai,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,2020
Credit Wise Capital,FinTech,Seed,6000000.0,Mumbai,CreditWise Capital is a consumer finance company.,2020
Chargebee,SaaS startup,Series F,55000000.0,"San Francisco Bay Area, West Coast, Western US",Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,2020
Reliance Retail Ventures Ltd,Retail,,70000000000.0,Mumbai,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2020
Winuall,Edtech,,2000000.0,Bangalore,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",2020
Genrobotics,AI startup,,300000.0,"Trivandrum, Kerala, India",GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,2020
Livve,Rental space,Seed,1500000.0,Cochin,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,2020
Ergos,AgriTech,Series A,5000000.0,"Samastipur, Bihar",Ergos is building an integrated supply chain by setting up micro warehouses.,2020
Krishitantra,Soil-Tech,Seed,1000000.0,Hyderabad,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,2020
PakkaProfile,Recruitment startup,Seed,,Bangalore,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",2020
Monet Networks,AI startup,Bridge,500000.0,"Irvine, California, United States",Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,2020
Unocoin,FinTech,Series A,,"Tumkur, Karnataka","Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",2020
Pesto,Edtech,,,New Delhi,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,2020
